iter	Passed	Remaining
1088	43046	154594
1089	43102	154614
1090	43137	154560
1091	43174	154510
1092	43180	154351
1093	43204	154256
1094	43227	154156
1095	43262	154102
1096	43310	154092
1097	43353	154067
1098	43377	153972
1099	43422	153953
1100	43468	153936
1101	43506	153889
1102	43574	153954
1103	43611	153905
1104	43689	154000
1105	43737	153990
1106	43742	153828
1107	43789	153816
1108	43807	153702
1109	43866	153731
1110	43916	153727
1111	43922	153571
1112	43946	153475
1113	44024	153571
1114	44083	153599
1115	44120	153551
1116	44179	153580
1117	44228	153575
1118	44279	153573
1119	44338	153602
1120	44376	153557
1121	44411	153501
1122	44458	153485
1123	44486	153406
1124	44493	153253
1125	44539	153236
1126	44578	153196
1127	44612	153137
1128	44643	153069
1129	44696	153074
1130	44732	153022
1131	44784	153026
1132	44829	153004
1133	44858	152929
1134	44906	152918
1135	44926	152812
1136	44943	152695
1137	44968	152607
1138	44993	152518
1139	45082	152646
1140	45125	152619
1141	45156	152552
1142	45187	152481
1143	45225	152438
1144	45268	152409
1145	45276	152263
1146	45305	152190
1147	45336	152122
1148	45366	152052
1149	45372	151898
1150	45405	151838
1151	45445	151801
1152	45474	151727
1153	45517	151698
1154	45547	151628
1155	45595	151615
1156	45624	151541
1157	45644	151439
1158	45669	151351
1159	45684	151232
1160	45690	151081
1161	45707	150969
1162	45756	150960
1163	45792	150911
1164	45798	150760
1165	45847	150753
1166	45885	150709
1167	45930	150690
1168	45967	150643
1169	46003	150593
1170	46074	150658
1171	46118	150632
1172	46147	150559
1173	46186	150519
1174	46224	150475
1175	46247	150384
1176	46294	150367
1177	46325	150301
1178	46338	150178
1179	46387	150168
1180	46399	150040
1181	46423	149953
1182	46466	149927
1183	46505	149887
1184	46513	149745
1185	46564	149744
1186	46630	149791
1187	46676	149771
1188	46717	149740
1189	46761	149715
1190	46797	149665
1191	46833	149614
1192	46878	149595
1193	46915	149547
1194	46938	149457
1195	46979	149422
1196	47010	149356
1197	47124	149556
1198	47176	149554
1199	47198	149460
1200	47246	149448
1201	47288	149420
1202	47328	149381
1203	47369	149348
1204	47394	149264
1205	47399	149116
1206	47436	149068
1207	47474	149024
1208	47520	149006
1209	47568	148994
1210	47572	148846
1211	47619	148829
1212	47631	148706
1213	47683	148707
1214	47727	148682
1215	47765	148638
1216	47797	148577
1217	47842	148553
1218	47877	148504
1219	47918	148469
1220	47954	148418
1221	47979	148334
1222	47994	148220
1223	48011	148114
1224	48047	148064
1225	48089	148034
1226	48145	148045
1227	48190	148026
1228	48220	147958
1229	48252	147897
1230	48286	147840
1231	48325	147799
1232	48362	147755
1233	48385	147664
1234	48452	147711
1235	48526	147777
1236	48579	147781
1237	48600	147685
1238	48652	147684
1239	48679	147609
1240	48700	147515
1241	48724	147428
1242	48743	147328
1243	48761	147226
1244	48798	147180
1245	48830	147117
1246	48866	147070
1247	48911	147049
1248	48956	147026
1249	48992	146976
1250	48997	146835
1251	49004	146699
1252	49052	146687
1253	49108	146699
1254	49136	146625
1255	49183	146610
1256	49188	146469
1257	49194	146332
1258	49247	146335
1259	49294	146318
1260	49316	146230
1261	49325	146100
1262	49331	145963
1263	49372	145930
1264	49418	145910
1265	49464	145891
1266	49484	145798
1267	49493	145670
1268	49526	145614
1269	49556	145547
1270	49585	145480
1271	49591	145343
1272	49631	145308
1273	49681	145299
1274	49733	145299
1275	49751	145198
1276	49810	145217
1277	49826	145112
1278	49877	145109
1279	49922	145087
1280	49967	145066
1281	50006	145027
1282	50045	144988
1283	50145	145125
1284	50197	145124
1285	50235	145080
1286	50265	145016
1287	50297	144955
1288	50303	144821
1289	50309	144689
1290	50342	144631
1291	50348	144497
1292	50366	144398
1293	50413	144384
1294	50425	144267
1295	50460	144216
1296	50504	144191
1297	50540	144145
1298	50555	144037
1299	50562	143908
1300	50568	143777
1301	50598	143712
1302	50621	143627
1303	50625	143490
1304	50630	143355
1305	50667	143310
1306	50706	143273
1307	50754	143261
1308	50793	143222
1309	50830	143179
1310	50881	143175
1311	50925	143151
1312	50969	143126
1313	51022	143126
1314	51055	143070
1315	51170	143247
1316	51212	143217
1317	51260	143201
1318	51296	143155
1319	51311	143050
1320	51368	143062
1321	51395	142990
1322	51429	142936
1323	51468	142899
1324	51511	142870
1325	51555	142847
1326	51595	142809
1327	51641	142792
1328	51670	142726
1329	51713	142698
1330	51761	142684
1331	51805	142660
1332	51826	142570
1333	51851	142495
1334	51882	142433
1335	51920	142392
1336	51959	142353
1337	51994	142305
1338	52024	142242
1339	52055	142182
1340	52087	142124
1341	52143	142132
1342	52159	142031
1343	52207	142015
1344	52221	141909
1345	52289	141950
1346	52324	141902
1347	52376	141897
1348	52388	141786
1349	52429	141754
1350	52469	141718
1351	52492	141637
1352	52523	141577
1353	52608	141661
1354	52634	141588
1355	52700	141623
1356	52748	141609
1357	52764	141508
1358	52801	141463
1359	52817	141363
1360	52867	141355
1361	52880	141248
1362	52911	141188
1363	52932	141102
1364	52971	141063
1365	52977	140937
1366	52982	140809
1367	53021	140770
1368	53060	140732
1369	53105	140709
1370	53241	140928
1371	53267	140856
1372	53320	140855
1373	53362	140823
1374	53411	140812
1375	53427	140711
1376	53466	140675
1377	53503	140630
1378	53531	140563
1379	53574	140536
1380	53604	140473
1381	53656	140468
1382	53683	140400
1383	53734	140392
1384	53792	140403
1385	53828	140358
1386	53887	140370
1387	53910	140291
1388	53939	140226
1389	53996	140234
1390	54047	140227
1391	54089	140197
1392	54094	140070
1393	54121	140001
1394	54238	140164
1395	54273	140115
1396	54292	140025
1397	54320	139958
1398	54332	139851
1399	54379	139832
1400	54425	139811
1401	54452	139744
1402	54457	139616
1403	54463	139495
1404	54468	139369
1405	54499	139311
1406	54532	139256
1407	54579	139239
1408	54623	139213
1409	54643	139127
1410	54664	139044
1411	54710	139024
1412	54756	139003
1413	54774	138911
1414	54779	138787
1415	54818	138749
1416	54829	138641
1417	54854	138567
1418	54893	138528
1419	54926	138476
1420	54960	138426
1421	54978	138336
1422	55003	138263
1423	55022	138173
1424	55047	138101
1425	55072	138028
1426	55110	137989
1427	55129	137900
1428	55167	137860
1429	55219	137855
1430	55259	137820
1431	55300	137787
1432	55319	137700
1433	55358	137662
1434	55397	137624
1435	55422	137552
1436	55447	137480
1437	55466	137392
1438	55484	137304
1439	55517	137250
1440	55528	137146
1441	55567	137107
1442	55599	137052
1443	55624	136980
1444	55665	136948
1445	55704	136910
1446	55724	136827
1447	55744	136742
1448	55765	136660
1449	55784	136576
1450	55803	136488
1451	55846	136461
1452	55876	136403
1453	55908	136349
1454	55951	136322
1455	55956	136201
1456	55976	136118
1457	55984	136005
1458	55988	135884
1459	56014	135815
1460	56028	135718
1461	56032	135597
1462	56060	135533
1463	56064	135413
1464	56069	135294
1465	56082	135195
1466	56103	135113
1467	56139	135070
1468	56152	134972
1469	56211	134982
1470	56232	134904
1471	56238	134787
1472	56263	134720
1473	56268	134601
1474	56274	134487
1475	56317	134459
1476	56356	134423
1477	56399	134396
1478	56441	134368
1479	56484	134342
1480	56529	134320
1481	56580	134311
1482	56614	134263
1483	56667	134259
1484	56700	134209
1485	56723	134135
1486	56744	134057
1487	56767	133984
1488	56790	133908
1489	56831	133878
1490	56879	133863
1491	56900	133785
1492	56925	133715
1493	57008	133781
1494	57020	133683
1495	57024	133566
1496	57036	133467
1497	57076	133432
1498	57106	133375
1499	57141	133330
1500	57207	133356
1501	57238	133303
1502	57278	133269
1503	57306	133208
1504	57311	133092
1505	57339	133029
1506	57380	133000
1507	57399	132917
1508	57419	132837
1509	57455	132794
1510	57496	132762
1511	57516	132683
1512	57542	132618
1513	57555	132523
1514	57595	132487
1515	57636	132457
1516	57690	132455
1517	57714	132386
1518	57773	132395
1519	57790	132310
1520	57800	132206
1521	57804	132092
1522	57851	132074
1523	57899	132060
1524	57930	132005
1525	57975	131983
1526	57995	131904
1527	58017	131829
1528	58023	131718
1529	58044	131642
1530	58057	131547
1531	58080	131477
1532	58110	131422
1533	58170	131433
1534	58277	131552
1535	58315	131513
1536	58352	131473
1537	58401	131461
1538	58466	131484
